game_id,move_idx,player_idx,player_type,row,col,result
767141cf,0,1,UltimateBattleshipAgent,6,4,miss
767141cf,1,2,AIAgent3,4,4,miss
767141cf,2,1,UltimateBattleshipAgent,5,9,miss
767141cf,3,2,AIAgent3,5,2,miss
767141cf,4,1,UltimateBattleshipAgent,8,6,miss
767141cf,5,2,AIAgent3,6,4,miss
767141cf,6,1,UltimateBattleshipAgent,2,4,miss
767141cf,7,2,AIAgent3,7,7,miss
767141cf,8,1,UltimateBattleshipAgent,1,7,miss
767141cf,9,2,AIAgent3,3,7,miss
767141cf,10,1,UltimateBattleshipAgent,9,3,miss
767141cf,11,2,AIAgent3,1,4,hit
767141cf,12,1,UltimateBattleshipAgent,0,0,miss
767141cf,13,2,AIAgent3,2,4,miss
767141cf,14,1,UltimateBattleshipAgent,1,3,miss
767141cf,15,2,AIAgent3,1,3,miss
767141cf,16,1,UltimateBattleshipAgent,5,1,miss
767141cf,17,2,AIAgent3,0,4,miss
767141cf,18,1,UltimateBattleshipAgent,1,5,hit
767141cf,19,2,AIAgent3,1,5,hit
767141cf,20,1,UltimateBattleshipAgent,0,5,miss
767141cf,21,2,AIAgent3,1,6,sunk
767141cf,22,1,UltimateBattleshipAgent,2,5,hit
767141cf,23,2,AIAgent3,8,6,miss
767141cf,24,1,UltimateBattleshipAgent,3,5,sunk
767141cf,25,2,AIAgent3,7,1,miss
767141cf,26,1,UltimateBattleshipAgent,2,6,hit
767141cf,27,2,AIAgent3,3,3,miss
767141cf,28,1,UltimateBattleshipAgent,1,6,miss
767141cf,29,2,AIAgent3,4,6,miss
767141cf,30,1,UltimateBattleshipAgent,3,6,hit
767141cf,31,2,AIAgent3,9,3,miss
767141cf,32,1,UltimateBattleshipAgent,4,5,miss
767141cf,33,2,AIAgent3,7,5,miss
767141cf,34,1,UltimateBattleshipAgent,4,6,hit
767141cf,35,2,AIAgent3,4,9,hit
767141cf,36,1,UltimateBattleshipAgent,5,5,miss
767141cf,37,2,AIAgent3,4,8,hit
767141cf,38,1,UltimateBattleshipAgent,5,6,hit
767141cf,39,2,AIAgent3,4,7,miss
767141cf,40,1,UltimateBattleshipAgent,6,5,miss
767141cf,41,2,AIAgent3,5,9,hit
767141cf,42,1,UltimateBattleshipAgent,6,6,sunk
767141cf,43,2,AIAgent3,5,8,hit
767141cf,44,1,UltimateBattleshipAgent,5,7,miss
767141cf,45,2,AIAgent3,6,8,hit
767141cf,46,1,UltimateBattleshipAgent,4,7,miss
767141cf,47,2,AIAgent3,3,8,sunk
767141cf,48,1,UltimateBattleshipAgent,3,7,miss
767141cf,49,2,AIAgent3,6,9,hit
767141cf,50,1,UltimateBattleshipAgent,2,7,miss
767141cf,51,2,AIAgent3,7,9,hit
767141cf,52,1,UltimateBattleshipAgent,1,4,miss
767141cf,53,2,AIAgent3,3,9,hit
767141cf,54,1,UltimateBattleshipAgent,8,8,miss
767141cf,55,2,AIAgent3,2,9,sunk
767141cf,56,1,UltimateBattleshipAgent,9,5,hit
767141cf,57,2,AIAgent3,8,9,sunk
767141cf,58,1,UltimateBattleshipAgent,8,5,miss
767141cf,59,2,AIAgent3,2,1,miss
767141cf,60,1,UltimateBattleshipAgent,9,4,hit
767141cf,61,2,AIAgent3,5,5,miss
767141cf,62,1,UltimateBattleshipAgent,9,6,hit
767141cf,63,2,AIAgent3,8,2,miss
767141cf,64,1,UltimateBattleshipAgent,9,7,sunk
767141cf,65,2,AIAgent3,0,7,miss
767141cf,66,1,UltimateBattleshipAgent,8,4,miss
767141cf,67,2,AIAgent3,3,0,miss
767141cf,68,1,UltimateBattleshipAgent,4,0,miss
767141cf,69,2,AIAgent3,4,1,miss
767141cf,70,1,UltimateBattleshipAgent,2,8,miss
767141cf,71,2,AIAgent3,6,0,miss
767141cf,72,1,UltimateBattleshipAgent,6,8,miss
767141cf,73,2,AIAgent3,6,3,miss
767141cf,74,1,UltimateBattleshipAgent,8,0,miss
767141cf,75,2,AIAgent3,0,2,miss
767141cf,76,1,UltimateBattleshipAgent,0,4,miss
767141cf,77,2,AIAgent3,9,8,miss
767141cf,78,1,UltimateBattleshipAgent,7,1,hit
767141cf,79,2,AIAgent3,1,0,hit
767141cf,80,1,UltimateBattleshipAgent,6,1,miss
767141cf,81,2,AIAgent3,1,2,hit
767141cf,82,1,UltimateBattleshipAgent,8,1,miss
767141cf,83,2,AIAgent3,1,1,sunk
