game_id,move_idx,player_idx,player_type,row,col,result
b37164dc,0,1,UltimateBattleshipAgent,8,0,miss
b37164dc,1,2,AIAgent3,6,4,miss
b37164dc,2,1,UltimateBattleshipAgent,5,1,hit
b37164dc,3,2,AIAgent3,4,2,miss
b37164dc,4,1,UltimateBattleshipAgent,4,1,hit
b37164dc,5,2,AIAgent3,3,5,miss
b37164dc,6,1,UltimateBattleshipAgent,3,1,miss
b37164dc,7,2,AIAgent3,6,8,miss
b37164dc,8,1,UltimateBattleshipAgent,6,1,hit
b37164dc,9,2,AIAgent3,1,3,miss
b37164dc,10,1,UltimateBattleshipAgent,7,1,sunk
b37164dc,11,2,AIAgent3,7,2,hit
b37164dc,12,1,UltimateBattleshipAgent,6,0,miss
b37164dc,13,2,AIAgent3,7,3,hit
b37164dc,14,1,UltimateBattleshipAgent,6,2,miss
b37164dc,15,2,AIAgent3,7,4,miss
b37164dc,16,1,UltimateBattleshipAgent,4,0,miss
b37164dc,17,2,AIAgent3,7,1,hit
b37164dc,18,1,UltimateBattleshipAgent,4,2,hit
b37164dc,19,2,AIAgent3,7,0,sunk
b37164dc,20,1,UltimateBattleshipAgent,3,2,miss
b37164dc,21,2,AIAgent3,1,6,hit
b37164dc,22,1,UltimateBattleshipAgent,5,2,miss
b37164dc,23,2,AIAgent3,2,6,hit
b37164dc,24,1,UltimateBattleshipAgent,4,3,hit
b37164dc,25,2,AIAgent3,3,6,hit
b37164dc,26,1,UltimateBattleshipAgent,3,3,miss
b37164dc,27,2,AIAgent3,4,6,hit
b37164dc,28,1,UltimateBattleshipAgent,5,3,miss
b37164dc,29,2,AIAgent3,5,6,miss
b37164dc,30,1,UltimateBattleshipAgent,4,4,sunk
b37164dc,31,2,AIAgent3,0,6,sunk
b37164dc,32,1,UltimateBattleshipAgent,5,0,miss
b37164dc,33,2,AIAgent3,2,4,miss
b37164dc,34,1,UltimateBattleshipAgent,3,7,miss
b37164dc,35,2,AIAgent3,2,7,miss
b37164dc,36,1,UltimateBattleshipAgent,0,4,miss
b37164dc,37,2,AIAgent3,3,8,miss
b37164dc,38,1,UltimateBattleshipAgent,9,9,miss
b37164dc,39,2,AIAgent3,4,9,miss
b37164dc,40,1,UltimateBattleshipAgent,9,5,miss
b37164dc,41,2,AIAgent3,7,6,miss
b37164dc,42,1,UltimateBattleshipAgent,1,3,hit
b37164dc,43,2,AIAgent3,8,7,miss
b37164dc,44,1,UltimateBattleshipAgent,0,3,miss
b37164dc,45,2,AIAgent3,3,2,miss
b37164dc,46,1,UltimateBattleshipAgent,2,3,miss
b37164dc,47,2,AIAgent3,0,2,miss
b37164dc,48,1,UltimateBattleshipAgent,1,2,hit
b37164dc,49,2,AIAgent3,7,9,miss
b37164dc,50,1,UltimateBattleshipAgent,1,4,hit
b37164dc,51,2,AIAgent3,5,1,miss
b37164dc,52,1,UltimateBattleshipAgent,1,5,miss
b37164dc,53,2,AIAgent3,5,7,miss
b37164dc,54,1,UltimateBattleshipAgent,1,1,hit
b37164dc,55,2,AIAgent3,9,5,miss
b37164dc,56,1,UltimateBattleshipAgent,1,0,sunk
b37164dc,57,2,AIAgent3,1,1,miss
b37164dc,58,1,UltimateBattleshipAgent,0,1,miss
b37164dc,59,2,AIAgent3,8,3,miss
b37164dc,60,1,UltimateBattleshipAgent,2,1,miss
b37164dc,61,2,AIAgent3,2,1,miss
b37164dc,62,1,UltimateBattleshipAgent,2,4,miss
b37164dc,63,2,AIAgent3,5,4,miss
b37164dc,64,1,UltimateBattleshipAgent,0,2,miss
b37164dc,65,2,AIAgent3,3,0,miss
b37164dc,66,1,UltimateBattleshipAgent,2,2,miss
b37164dc,67,2,AIAgent3,9,2,miss
b37164dc,68,1,UltimateBattleshipAgent,5,7,hit
b37164dc,69,2,AIAgent3,1,8,miss
b37164dc,70,1,UltimateBattleshipAgent,4,7,miss
b37164dc,71,2,AIAgent3,4,3,miss
b37164dc,72,1,UltimateBattleshipAgent,6,7,miss
b37164dc,73,2,AIAgent3,6,2,miss
b37164dc,74,1,UltimateBattleshipAgent,5,6,hit
b37164dc,75,2,AIAgent3,5,5,miss
b37164dc,76,1,UltimateBattleshipAgent,5,5,miss
b37164dc,77,2,AIAgent3,1,9,miss
b37164dc,78,1,UltimateBattleshipAgent,5,8,sunk
b37164dc,79,2,AIAgent3,6,5,hit
b37164dc,80,1,UltimateBattleshipAgent,4,6,miss
b37164dc,81,2,AIAgent3,6,6,hit
b37164dc,82,1,UltimateBattleshipAgent,6,6,miss
b37164dc,83,2,AIAgent3,6,7,sunk
b37164dc,84,1,UltimateBattleshipAgent,3,5,miss
b37164dc,85,2,AIAgent3,0,5,miss
b37164dc,86,1,UltimateBattleshipAgent,0,0,miss
