game_id,move_idx,player_idx,player_type,row,col,result
ddbf574b,0,1,UltimateBattleshipAgent,4,8,miss
ddbf574b,1,2,AIAgent3,5,3,miss
ddbf574b,2,1,UltimateBattleshipAgent,9,9,miss
ddbf574b,3,2,AIAgent3,3,7,miss
ddbf574b,4,1,UltimateBattleshipAgent,0,4,miss
ddbf574b,5,2,AIAgent3,5,5,miss
ddbf574b,6,1,UltimateBattleshipAgent,9,7,miss
ddbf574b,7,2,AIAgent3,3,1,hit
ddbf574b,8,1,UltimateBattleshipAgent,2,0,hit
ddbf574b,9,2,AIAgent3,3,2,hit
ddbf574b,10,1,UltimateBattleshipAgent,1,0,miss
ddbf574b,11,2,AIAgent3,3,3,sunk
ddbf574b,12,1,UltimateBattleshipAgent,3,0,miss
ddbf574b,13,2,AIAgent3,7,4,miss
ddbf574b,14,1,UltimateBattleshipAgent,2,1,hit
ddbf574b,15,2,AIAgent3,0,5,miss
ddbf574b,16,1,UltimateBattleshipAgent,2,2,sunk
ddbf574b,17,2,AIAgent3,1,6,miss
ddbf574b,18,1,UltimateBattleshipAgent,1,1,miss
ddbf574b,19,2,AIAgent3,4,9,miss
ddbf574b,20,1,UltimateBattleshipAgent,3,1,miss
ddbf574b,21,2,AIAgent3,8,5,miss
ddbf574b,22,1,UltimateBattleshipAgent,1,3,miss
ddbf574b,23,2,AIAgent3,6,8,miss
ddbf574b,24,1,UltimateBattleshipAgent,6,8,hit
ddbf574b,25,2,AIAgent3,6,6,miss
ddbf574b,26,1,UltimateBattleshipAgent,5,8,miss
ddbf574b,27,2,AIAgent3,2,8,miss
ddbf574b,28,1,UltimateBattleshipAgent,7,8,miss
ddbf574b,29,2,AIAgent3,6,2,hit
ddbf574b,30,1,UltimateBattleshipAgent,6,7,hit
ddbf574b,31,2,AIAgent3,6,3,miss
ddbf574b,32,1,UltimateBattleshipAgent,6,9,hit
ddbf574b,33,2,AIAgent3,5,2,miss
ddbf574b,34,1,UltimateBattleshipAgent,6,6,sunk
ddbf574b,35,2,AIAgent3,6,1,sunk
ddbf574b,36,1,UltimateBattleshipAgent,5,9,hit
ddbf574b,37,2,AIAgent3,4,0,hit
ddbf574b,38,1,UltimateBattleshipAgent,5,6,miss
ddbf574b,39,2,AIAgent3,5,0,miss
ddbf574b,40,1,UltimateBattleshipAgent,4,9,hit
ddbf574b,41,2,AIAgent3,4,1,miss
ddbf574b,42,1,UltimateBattleshipAgent,4,6,miss
ddbf574b,43,2,AIAgent3,3,0,hit
ddbf574b,44,1,UltimateBattleshipAgent,3,9,miss
ddbf574b,45,2,AIAgent3,2,0,sunk
ddbf574b,46,1,UltimateBattleshipAgent,7,9,sunk
ddbf574b,47,2,AIAgent3,9,7,hit
ddbf574b,48,1,UltimateBattleshipAgent,5,7,miss
ddbf574b,49,2,AIAgent3,8,7,hit
ddbf574b,50,1,UltimateBattleshipAgent,7,7,miss
ddbf574b,51,2,AIAgent3,7,7,hit
ddbf574b,52,1,UltimateBattleshipAgent,2,4,hit
ddbf574b,53,2,AIAgent3,6,7,hit
ddbf574b,54,1,UltimateBattleshipAgent,1,4,miss
ddbf574b,55,2,AIAgent3,5,7,sunk
ddbf574b,56,1,UltimateBattleshipAgent,3,4,miss
ddbf574b,57,2,AIAgent3,2,4,hit
ddbf574b,58,1,UltimateBattleshipAgent,2,3,sunk
ddbf574b,59,2,AIAgent3,3,4,hit
ddbf574b,60,1,UltimateBattleshipAgent,2,5,miss
ddbf574b,61,2,AIAgent3,1,4,miss
ddbf574b,62,1,UltimateBattleshipAgent,1,7,miss
ddbf574b,63,2,AIAgent3,5,4,hit
ddbf574b,64,1,UltimateBattleshipAgent,8,0,miss
ddbf574b,65,2,AIAgent3,6,4,miss
ddbf574b,66,1,UltimateBattleshipAgent,9,1,miss
ddbf574b,67,2,AIAgent3,2,3,miss
ddbf574b,68,1,UltimateBattleshipAgent,7,1,miss
ddbf574b,69,2,AIAgent3,2,5,miss
ddbf574b,70,1,UltimateBattleshipAgent,4,0,miss
ddbf574b,71,2,AIAgent3,4,4,sunk
