time,winner,moves,duration
17:15:10,Player,105,94.0
19:24:03,AI Alpha,83,9.9
19:24:17,AI Alpha,97,10.1
19:25:41,AI Beta,118,40.9
19:27:48,AI Alpha,113,120.5
19:28:16,AI Beta,118,7.6
19:28:18,AI Beta,119,9.2
19:28:19,AI Beta,120,10.5
19:29:28,AI Beta,114,11.5
19:32:00,AI Beta,114,121.6
15:40:03,AI Alpha,117,124.6
12:00:43,AI Beta,114,38.5
12:01:10,AI Beta,115,65.8
12:01:11,AI Beta,116,66.9
14:39:34,AI Alpha,103,10.8
14:41:41,AI Beta,114,115.8
14:50:16,AI Alpha,113,114.8
14:59:42,AI Alpha,115,6.7
15:10:39,AI Beta,120,7.0
18:45:17,Computer,90,92.9
18:46:20,Player,94,156.6
01:56:20,Player,115,61.0
10:56:30,Computer,72,111.2
10:58:30,Computer,128,108.5
11:02:58,Computer,94,87.7
11:30:58,Computer,102,60.1
11:32:01,Computer,88,45.7
11:35:15,Player,129,74.9
11:37:48,Computer,86,71.2
00:17:37,Computer,110,172.0
00:23:35,Player,101,96.4
00:25:59,Player,109,139.4
00:27:52,Computer,104,105.0
00:28:55,Computer,86,38.2
00:31:09,Computer,146,119.6
00:41:55,Player,105,86.6
00:43:37,Computer,90,98.2
00:44:30,Computer,118,46.7
00:47:47,Computer,112,33.5
00:49:04,Computer,70,56.0
00:50:47,AI Alpha,193,71.4
00:54:49,AI Alpha,81,52.9
00:56:05,AI Alpha,61,33.4
01:00:07,AI Beta,82,44.2
01:03:49,AI RL,113,65.4
01:05:05,AI RL,115,66.8
01:18:01,AI RL,91,46.6
01:18:24,AI RL,71,7.6
01:18:59,AI Prob,62,27.1
01:19:46,AI RL,87,38.5
01:34:26,AI Prob,114,57.5
01:36:35,AI RL,77,21.0
01:43:33,AI Prob,82,41.1
01:45:52,AI Prob,164,58.0
01:50:22,AI RL,73,18.4
01:51:02,AI RL,79,20.0
02:17:13,AI RL,95,6.5
02:17:24,AI Prob,62,4.1
02:17:34,AI Prob,104,7.2
02:17:50,AI Prob,178,12.6
02:17:59,AI Prob,80,5.2
02:18:14,AI Prob,112,7.6
02:22:40,AI Prob,106,7.9
11:32:09,AI Prob,68,19.5
11:33:21,AI Prob,82,19.0
11:33:53,AI Prob,78,18.2
11:36:56,AI Prob,106,52.5
11:39:51,AI RL,125,63.6
11:40:54,AI RL,101,50.2
11:41:23,AI RL,75,16.1
11:41:38,AI RL,109,9.9
11:42:01,AI RL,111,10.0
11:42:27,AI RL,61,16.8
11:42:52,AI RL,73,20.3
11:44:42,AI RL,83,16.1
11:45:08,AI RL,109,21.0
11:45:30,AI Prob,90,17.7
11:52:18,AI RL,75,18.3
11:53:04,AI Prob,146,42.8
11:53:14,AI RL,77,5.1
11:53:23,AI RL,99,6.8
11:53:31,AI RL,71,4.5
11:53:40,AI RL,81,5.1
11:59:19,AI RL,121,23.8
12:05:09,AI RL,77,13.8
12:05:33,AI Prob,80,14.5
12:06:10,AI Prob,114,31.9
12:10:26,AI RL,91,18.3
12:10:49,AI RL,91,19.4
12:11:15,AI RL,99,20.5
12:11:34,AI Prob,80,16.0
12:17:02,AI RL,75,20.6
12:17:30,AI RL,89,24.8
12:17:56,AI RL,77,22.1
12:18:24,AI RL,103,20.8
12:19:59,Player,96,60.5
12:21:31,Computer,114,89.0
12:22:34,Player,107,62.2
12:23:44,Computer,68,42.9
12:47:47,AI Prob,60,20.1
12:48:29,AI Prob,78,27.1
12:49:05,AI RL,81,27.6
12:49:30,AI Prob,62,20.3
14:02:46,Player,137,181.4
14:08:50,Computer,80,318.5
14:10:45,Computer,70,109.1
14:13:01,Computer,60,132.0
14:16:09,Player,63,177.6
19:20:29,AI RL,117,18.7
19:22:10,AI with google,103,21.0
19:22:35,AI with google,101,20.9
19:24:13,AI Ultimate ,90,25.0
19:24:46,AI with google,105,25.9
19:25:10,AI Ultimate ,82,19.2
19:25:34,AI Ultimate ,86,20.9
19:25:54,AI with google,71,16.8
19:27:23,AI with google,59,10.6
19:27:47,AI with google,83,14.8
19:28:08,AI with google,87,15.4
19:33:31,AI with google,79,10.1
19:33:58,AI with google,115,14.7
21:11:20,AI with google,71,58.9
21:12:23,AI with google,65,53.7
21:14:38,AI with google,89,73.7
21:16:31,AI with google,97,80.5
21:18:00,AI with google,97,18.7
